max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
3,300,0.05,0.6,0.8,20,0.0,5,0.35955,0.69048,0.39025
3,200,0.05,0.8,0.6,5,0.5,5,0.35658,0.69049,0.42591
2,300,0.1,0.8,0.6,10,1.0,1,0.3388,0.6905,0.358
2,300,0.05,0.7,0.6,20,1.0,5,0.44679,0.69054,0.34178
2,300,0.05,0.7,0.7,20,1.0,10,0.45263,0.69054,0.35949
3,300,0.05,0.8,0.7,5,0.0,5,0.28676,0.6906,0.42658
2,300,0.1,0.7,0.8,20,0.5,5,0.36079,0.69063,0.36789
2,200,0.1,0.8,0.8,5,1.0,1,0.37829,0.69068,0.40557
2,300,0.05,0.8,0.8,10,1.0,1,0.41214,0.69072,0.38472
3,300,0.05,0.8,0.7,5,0.5,1,0.2734,0.69072,0.42649
2,200,0.05,0.8,0.6,20,1.0,5,0.47178,0.69082,0.37169
2,300,0.05,0.6,0.7,10,1.0,5,0.4312,0.69089,0.33559
