n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,5,0.05,1.0,0.7,1,1.0,0.65744573707274,0.5760575083111406
500,5,0.05,1.0,0.7,1,1.0,0.65744573707274,0.5760575083111406
500,4,0.05,0.85,0.7,5,0.0,0.6574554939242867,0.5808629509692811
300,6,0.05,0.85,0.85,5,0.0,0.6575106439277316,0.5283146724153414
300,4,0.05,1.0,0.85,1,1.0,0.6576166909829435,0.6024070244367585
500,5,0.05,0.7,1.0,3,1.0,0.6576840915675161,0.5585709699722555
300,5,0.05,0.7,0.7,3,0.1,0.657804381233938,0.5515504124701979
500,4,0.1,0.85,0.7,1,1.0,0.6578541407015157,0.5557893354203128
500,4,0.1,0.85,0.85,3,0.0,0.657963934694859,0.5309679544882457
300,5,0.05,1.0,0.7,3,1.0,0.6579871322593086,0.5688410598634617
500,5,0.05,1.0,0.7,3,1.0,0.6579871322593086,0.5688410598634617
300,4,0.05,1.0,1.0,3,1.0,0.6580252195070317,0.6043189767370922
500,6,0.1,0.85,1.0,5,1.0,0.6580479474640722,0.531447439322834
300,5,0.1,0.7,0.7,3,0.0,0.6580585139047627,0.544834677965349
500,6,0.05,0.7,1.0,3,0.1,0.6582610100512524,0.5162303434339395
300,5,0.05,0.85,0.85,5,0.0,0.6582645893853101,0.5495285617959824
300,6,0.05,0.7,1.0,3,0.1,0.6583063171216534,0.5152264970850801
300,4,0.1,1.0,0.7,3,1.0,0.6583336207554744,0.5474246109917702
500,4,0.1,1.0,0.7,3,1.0,0.6583336207554744,0.5474246109917702
500,5,0.1,0.7,0.7,3,0.0,0.658380478272865,0.5457792402129523
500,4,0.05,1.0,1.0,3,1.0,0.6584138936870475,0.6069582409993091
300,4,0.05,0.7,1.0,3,0.1,0.6584944393744935,0.5448028022056046
300,6,0.05,1.0,0.7,3,0.1,0.6586372977706608,0.5249881851356284
500,5,0.05,1.0,0.7,5,0.1,0.6586675620681927,0.5473950746769609
500,4,0.05,1.0,0.85,1,1.0,0.658670611281538,0.6028532397662457
300,5,0.05,1.0,0.7,5,1.0,0.6588781612902567,0.5606975504930808
500,5,0.05,1.0,0.7,5,1.0,0.6588781612902567,0.5606975504930808
500,6,0.05,1.0,0.7,3,0.1,0.6589018950546135,0.5258995512352019
500,5,0.05,0.85,0.7,3,0.0,0.6589176565377087,0.5492420769513995
300,6,0.1,0.85,0.85,5,0.1,0.6589677681020416,0.5394047714515137
300,4,0.1,0.85,0.7,1,1.0,0.6590848687880229,0.5558829362547029
300,5,0.05,1.0,0.7,5,0.1,0.6590978133281088,0.5458458060682305
500,4,0.05,0.7,1.0,3,0.0,0.659103314277478,0.5284094126417235
500,6,0.1,0.85,0.85,5,0.1,0.6591156501922975,0.5394556513680898
500,4,0.05,0.85,0.85,5,0.0,0.6591362515193052,0.5667588710751599
300,4,0.1,1.0,1.0,3,0.1,0.6591875404802569,0.5138546339700961
300,4,0.05,0.85,0.7,1,0.1,0.6593001537620251,0.5739353266234543
500,6,0.05,0.85,0.85,5,1.0,0.659492700951792,0.5549175952208794
500,4,0.1,1.0,0.85,3,0.0,0.659496458649602,0.5526294188364955
300,4,0.05,0.85,0.7,5,0.0,0.6596785548358041,0.5766471750233876
500,5,0.05,0.85,0.85,5,0.0,0.6597405311970366,0.5501114867527388
300,5,0.05,0.85,1.0,5,0.0,0.6597433208928374,0.5489066107921201
300,4,0.05,0.7,0.7,1,1.0,0.6597835214542733,0.6036548747791673
300,4,0.1,0.7,1.0,3,1.0,0.6598927291525459,0.5769528299754696
500,5,0.05,1.0,0.85,3,0.0,0.6599904888126037,0.55340297172303
500,5,0.05,0.7,0.7,3,0.1,0.6600407056601745,0.5490357104445087
500,6,0.05,0.7,1.0,1,0.1,0.6600631884005055,0.5250557557640823
300,6,0.05,0.7,1.0,1,0.1,0.6601442263298262,0.5242682237379993
500,4,0.1,1.0,1.0,1,0.0,0.6601654084432333,0.5235977535759835
500,4,0.1,1.0,1.0,3,0.1,0.6602786739911102,0.5119842427176374
500,4,0.1,0.7,1.0,3,1.0,0.6603224605053662,0.5752096694011631
300,4,0.05,0.7,1.0,5,0.1,0.660397889976681,0.5384433578359183
500,4,0.05,0.85,1.0,1,1.0,0.6604366825963291,0.5775789417166948
300,6,0.05,1.0,1.0,1,1.0,0.660456335633705,0.5813975485176504
500,6,0.05,1.0,1.0,1,1.0,0.660456335633705,0.5813975485176504
500,4,0.05,1.0,1.0,1,1.0,0.660492418096615,0.6020551885616058
500,6,0.1,0.7,0.7,1,0.1,0.6605049683581501,0.5010783028995279
300,6,0.1,0.7,0.7,1,0.1,0.6605467980464924,0.5007909268472927
300,4,0.05,1.0,1.0,1,1.0,0.6606815472712576,0.6008758774330814
500,4,0.05,0.7,1.0,5,0.1,0.6606924504990493,0.5455887040697841
300,5,0.05,0.85,0.7,5,1.0,0.6607029587470322,0.5766950427775892
500,6,0.05,0.85,0.85,3,1.0,0.6607183553942124,0.5453830521941319
300,4,0.1,1.0,0.85,3,0.0,0.660800590838958,0.5465818025199604
300,4,0.05,1.0,0.7,1,1.0,0.6608826970812449,0.5885103015861297
300,4,0.05,0.85,0.85,3,1.0,0.6609276538263962,0.5756823173446353
500,5,0.1,0.85,0.85,3,1.0,0.6609365237910472,0.5553817070614091
300,5,0.05,0.7,0.7,5,0.1,0.6609463511563287,0.5361170181308896
300,6,0.05,1.0,1.0,5,1.0,0.6609851649507515,0.5779027481035193
500,6,0.05,1.0,1.0,5,1.0,0.6609851649507515,0.5779027481035193
300,5,0.05,1.0,0.85,3,0.0,0.6610922216066306,0.5526686850923875
500,5,0.05,0.85,1.0,5,0.0,0.6611351262886981,0.5497896836660984
500,5,0.05,0.85,0.7,5,1.0,0.661149495798117,0.5787687822023371
300,6,0.05,0.7,0.85,3,0.1,0.6611849137389847,0.5138479564569806
300,5,0.1,0.7,1.0,5,1.0,0.6611906362249435,0.5404971134355079
300,5,0.1,0.7,0.7,3,1.0,0.6612535424529841,0.5605981045549463
500,5,0.05,1.0,0.85,1,0.1,0.6612595078179616,0.5864644146591252
300,5,0.1,0.85,0.85,3,1.0,0.661263426923456,0.5534275316170909
500,5,0.05,0.85,0.7,1,1.0,0.6613113674866571,0.5710571215168547
300,4,0.1,0.85,0.7,1,0.0,0.6613125537125559,0.5412214742532976
300,4,0.1,1.0,1.0,1,0.0,0.6613668756906155,0.5207543615014428
300,5,0.1,0.7,0.7,5,0.0,0.6614198278628772,0.5602425400994311
500,6,0.05,0.7,0.85,3,0.1,0.6614745860583786,0.5152536252506512
