n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,5,0.1,0.7,1.0,5,0.0,0.593901778612507,0.6228631538220003
300,4,0.1,0.85,0.85,5,0.0,0.5942617370067977,0.6077101600910105
500,4,0.05,1.0,1.0,1,0.1,0.5943879761054925,0.5678281207669437
500,5,0.1,0.7,1.0,5,0.0,0.5945318109857578,0.6218279761394662
300,5,0.1,0.7,0.7,5,0.0,0.5949071870793857,0.6395531446664685
300,4,0.1,0.85,1.0,1,1.0,0.5949198040452389,0.5922624262096509
500,5,0.05,0.7,0.7,5,0.1,0.5949643443820153,0.5736098495782369
500,4,0.1,0.85,0.85,5,0.0,0.5951002119719353,0.604319629180099
300,4,0.1,0.85,1.0,3,0.1,0.5952056172026133,0.5978213012795385
300,6,0.05,0.7,0.85,1,1.0,0.5953263555479613,0.5984834727944774
300,5,0.1,0.85,1.0,5,1.0,0.595416893207413,0.577337735040103
500,5,0.1,0.7,0.7,5,0.0,0.595574826709565,0.6394418740744124
500,5,0.1,0.85,1.0,5,0.1,0.5955923154491571,0.6062240029034998
300,5,0.1,0.85,1.0,5,0.1,0.5959177364928231,0.6057848325765295
300,4,0.05,1.0,1.0,3,0.1,0.5959999310784613,0.5699859104261426
300,5,0.05,0.85,0.85,5,0.0,0.5968684011942609,0.6066472320666477
300,4,0.1,0.85,0.85,1,0.1,0.5971335099521574,0.5980765250364305
500,4,0.05,1.0,1.0,3,1.0,0.5971752569985938,0.5692098596995095
500,4,0.1,0.85,1.0,3,0.1,0.5974900557864126,0.5955432672914905
500,5,0.1,0.85,1.0,1,0.1,0.5977363348791759,0.5657455923182763
500,5,0.1,0.85,1.0,5,1.0,0.5979230415736614,0.573582015032333
300,5,0.05,0.85,1.0,5,1.0,0.5979532595327328,0.5765664403575697
300,5,0.1,0.85,1.0,1,0.1,0.5979900242495858,0.5656992317149022
300,4,0.1,1.0,1.0,1,0.0,0.5981598882316169,0.5563541271470883
500,6,0.05,0.7,0.85,1,1.0,0.5982364108036387,0.5963909109087632
500,4,0.1,0.85,0.85,1,0.1,0.5983154810936657,0.5976288281257497
300,5,0.05,0.85,1.0,5,0.0,0.5984171075629838,0.5801794987380605
500,4,0.1,0.85,1.0,1,1.0,0.5987826607667457,0.5903686801987028
300,4,0.1,0.85,1.0,1,0.1,0.5989082343350102,0.6119023010156606
300,4,0.05,1.0,1.0,3,0.0,0.5992508212626162,0.5524225763736452
500,4,0.1,0.85,1.0,1,0.1,0.5994038632586387,0.6106705207370804
500,4,0.1,1.0,1.0,1,0.0,0.5994081130685768,0.5526482468700834
300,4,0.05,0.85,1.0,1,0.0,0.6000149233799426,0.5852254072858327
300,4,0.05,1.0,1.0,5,0.1,0.6000200415894256,0.5732536798721756
300,4,0.05,1.0,1.0,1,0.0,0.6001952457006624,0.5716150070538298
500,5,0.05,0.85,0.85,5,0.0,0.6002485451994221,0.599600266873458
500,4,0.05,0.7,0.7,5,0.0,0.60048376183055,0.6076309176581156
300,4,0.1,1.0,0.7,1,0.0,0.6006948714680437,0.5746465051047841
500,4,0.05,1.0,1.0,3,0.0,0.6011010936097079,0.5544910199457331
500,5,0.05,0.85,1.0,5,0.0,0.6012775200048671,0.5784232483987912
500,4,0.05,1.0,1.0,3,0.1,0.6014706418754411,0.5741048075577971
300,4,0.1,0.85,1.0,5,0.0,0.6017874909045876,0.56876093260418
300,6,0.05,1.0,0.7,3,0.1,0.6019669804748898,0.5943305321274129
300,4,0.05,0.85,1.0,3,0.0,0.6023766313088719,0.5819253017221371
500,6,0.1,0.7,0.85,3,1.0,0.6024750366657524,0.5863306610198828
300,6,0.1,0.7,0.85,3,1.0,0.6026299868216873,0.5869352687736769
500,6,0.05,1.0,0.7,3,0.1,0.6026695655687496,0.5939060981427805
300,5,0.1,0.85,0.7,5,0.0,0.6029122552115609,0.5699357800834148
300,6,0.05,0.85,1.0,5,1.0,0.6032063723773639,0.5742292794327258
500,5,0.1,0.7,0.85,1,0.1,0.6032712415357089,0.6047686941400995
500,5,0.1,0.85,0.7,5,0.0,0.6036025778682038,0.5701127596903102
300,4,0.1,1.0,0.7,3,1.0,0.6036090687363037,0.5608674217967784
500,4,0.1,1.0,0.7,3,1.0,0.6036090687363037,0.5608674217967784
300,5,0.1,0.7,0.85,1,0.1,0.6037647036662649,0.6033782837620488
300,5,0.1,0.7,0.7,5,0.1,0.6039933916362658,0.5740764382786078
300,6,0.1,1.0,0.7,5,0.0,0.6039967126045375,0.5705111610500179
500,6,0.1,1.0,0.7,5,0.0,0.6040470275064684,0.5704009393927352
500,4,0.1,0.85,1.0,5,0.0,0.6040762670634107,0.5636334771763982
500,5,0.05,0.85,1.0,5,1.0,0.6043282994720964,0.5710903887498046
300,4,0.05,1.0,0.7,5,0.1,0.6043618364606144,0.5958187439385331
