max_depth,n_estimators,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,train_rmse,val_rmse,val_acc
2,200,0.1,0.8,0.8,10,0.5,10,0.3539553742822566,0.631248288506756,0.5602893246372974
2,200,0.05,0.8,0.7,20,0.5,5,0.4342349879492771,0.6313568515253652,0.5758996206716851
2,200,0.05,0.6,0.7,20,0.5,10,0.4521321585423768,0.6314058950029177,0.5607922038181644
2,200,0.05,0.6,0.6,10,0.0,10,0.43619540787560973,0.6314712573081278,0.5736604762171625
3,100,0.1,0.8,0.8,10,0.5,5,0.30905253215005374,0.6314757272480733,0.6012137266117699
2,200,0.05,0.6,0.6,5,0.5,1,0.4103385341972249,0.6314857059758776,0.5718594621970063
2,300,0.05,0.6,0.7,10,0.5,5,0.3790799644926004,0.6314989986987046,0.5526104235571778
2,200,0.1,0.8,0.6,5,1.0,5,0.34656152388554273,0.6315142440756218,0.5719943631283875
2,100,0.05,0.6,0.6,10,0.5,5,0.4977239548489414,0.6315161917153786,0.5585349518090835
2,200,0.1,0.6,0.6,10,1.0,1,0.3531686698198951,0.6315379400674173,0.5869799317540145
2,200,0.05,0.6,0.6,10,1.0,10,0.447129844048488,0.6315829367243466,0.5660186638086799
2,100,0.05,0.6,0.6,5,0.0,10,0.5030817007324991,0.6316180287456603,0.5653277467241279
3,300,0.05,0.6,0.8,10,1.0,1,0.249629742604196,0.6316190696369302,0.6105449579704415
2,200,0.05,0.7,0.6,10,1.0,10,0.44300075942911743,0.6317017682594224,0.542799387571191
2,300,0.05,0.8,0.6,10,0.0,5,0.37296818242092766,0.6317750837392087,0.586253352626633
2,100,0.05,0.6,0.6,10,0.0,1,0.48380195071461424,0.6318546819969247,0.5716106856795053
3,300,0.05,0.8,0.6,20,0.0,1,0.27662490479580326,0.6319128536271807,0.5730189864285052
3,100,0.1,0.7,0.8,10,1.0,10,0.3353912887402897,0.6319604509523226,0.5566272315225028
2,100,0.1,0.8,0.8,20,0.5,1,0.4225096938868377,0.6320217429197895,0.5600587028239604
3,200,0.05,0.7,0.8,5,0.5,5,0.3011861826018573,0.6320541149978556,0.5625766020726656
2,200,0.05,0.8,0.7,10,0.5,10,0.4312173325220158,0.6320977788762928,0.567441100599854
3,200,0.05,0.8,0.6,5,0.0,1,0.2754568666282854,0.6322301726521771,0.5812763130260233
2,300,0.05,0.6,0.6,10,0.0,10,0.3894043559198056,0.6322401177055287,0.5696634879069263
2,200,0.05,0.7,0.8,20,0.0,5,0.424558090595418,0.6322594031937402,0.5370231492132641
2,200,0.1,0.8,0.8,5,0.0,5,0.31886122803674877,0.6322748273362272,0.5967606470368804
3,200,0.05,0.8,0.8,20,0.0,1,0.32497813978131335,0.6324016723261044,0.5557071316437049
2,200,0.1,0.6,0.7,10,0.5,5,0.34753038047329066,0.632406035444869,0.524895327913456
2,300,0.05,0.8,0.7,10,0.0,5,0.3728131776245544,0.6324086274370826,0.5805438400208778
2,200,0.1,0.7,0.8,10,0.0,5,0.3298059384757708,0.6324264489148771,0.5637935269717529
3,300,0.05,0.8,0.7,5,1.0,1,0.23482923491182145,0.6324384423420364,0.6058995632671074
2,200,0.05,0.8,0.8,20,1.0,10,0.4414687749703537,0.6324457641550204,0.5658803541268667
2,200,0.05,0.6,0.6,5,0.0,1,0.4065774610361446,0.6325046928593839,0.5818810363944873
3,100,0.05,0.6,0.6,10,0.5,10,0.43682312897493575,0.6325070798625108,0.5791210432492048
2,200,0.1,0.6,0.6,5,0.0,5,0.34167410599274045,0.6325814401898002,0.5462094321073752
3,300,0.05,0.7,0.7,10,0.0,1,0.22459328116894792,0.632628003037038,0.57204585041258
